id,name,fullname,birthyear,deathyear,epoch
1,Goldmark,Karl Goldmark,1830,1915,Romantic
2,Paganini,Niccolò Paganini,1782,1840,Early Romantic
3,Stenhammar,Wilhelm Stenhammar,1871,1927,Late Romantic
4,Pärt,Arvo Pärt,1935,2099,Post-War
5,Webern,Anton Webern,1883,1945,20th Century
6,Korngold,Erich Wolfgang Korngold,1897,1957,20th Century
7,Delius,Frederick Delius,1862,1934,Late Romantic
8,Lully,Jean-Baptiste Lully,1632,1687,Baroque
9,Martinů,Bohuslav Martinů,1890,1959,20th Century
10,Franck,César Franck,1822,1890,Romantic
11,Górecki,Henryk Górecki,1933,2010,Post-War
12,Xenakis,Iannis Xenakis,1922,2001,Post-War
13,Arnold,Malcolm Arnold,1921,2006,Post-War
14,Balakirev,Mily Balakirev,1837,1910,Romantic
15,Zemlinsky,Alexander von Zemlinsky,1871,1942,Late Romantic
16,Albinoni,Tomaso Albinoni,1671,1751,Baroque
17,Hummel,Johann Nepomuk Hummel,1778,1837,Early Romantic
18,Crumb,George Crumb,1929,2022,Post-War
19,Ginastera,Alberto Ginastera,1916,1983,20th Century
20,Suk,Josef Suk,1874,1935,Late Romantic
21,Kodály,Zoltán Kodály,1882,1967,20th Century
22,Vaughan Williams,Ralph Vaughan Williams,1872,1958,Late Romantic
23,Enescu,George Enescu,1881,1955,Late Romantic
24,Piazzolla,Astor Piazzolla,1921,1992,20th Century
25,Widor,Charles-Marie Widor,1844,1937,Romantic
26,Walton,William Walton,1902,1983,20th Century
27,Saint-Saëns,Camille Saint-Saëns,1835,1921,Romantic
28,Shostakovich,Dmitri Shostakovich,1906,1975,20th Century
29,Biber,Heinrich Franz von Biber,1644,1704,Baroque
30,Szymanowski,Karol Szymanowski,1882,1937,Late Romantic
31,Nielsen,Carl Nielsen,1865,1931,Late Romantic
32,Fauré,Gabriel Fauré,1845,1924,Late Romantic
33,Villa-Lobos,Heitor Villa-Lobos,1887,1959,20th Century
34,Cage,John Cage,1912,1992,Post-War
35,Ravel,Maurice Ravel,1875,1937,Late Romantic
36,Frescobaldi,Girolamo Frescobaldi,1583,1643,Baroque
37,Lalo,Edouard Lalo,1823,1892,Romantic
38,Rossini,Gioachino Rossini,1792,1868,Early Romantic
39,Schoenberg,Arnold Schoenberg,1874,1951,20th Century
