id,composer_id,name,solo,form
1,1,"Ballad, for violin and piano",0,Misc.
2,1,"Romance, for violin and piano in A major, op. 51",0,Misc.
3,1,"Sonata in D major, for violin and piano, op. 25",0,Sonata
4,1,"Suite, for violin and piano, op. 11 in D",0,Suite
5,2,"24 Caprices for Solo Violin, op. 1, MS25",1,Misc.
6,2,4 Studies for Violin Solo,1,Misc.
7,2,"Cantabile in D major, for violin and piano, MS109, op. 17",0,Misc.
8,2,"Caprice d'adieu, for solo violin, MS68",1,Misc.
9,2,"Inno patriotico in A major, Allegro and 6 Variations for solo violin, MS81",1,Misc.
10,2,"Tema variato in A major, Theme and 7 Variations for solo violin, MS82",1,Misc.
11,2,"Violin Sonata in A major, MS83",0,Sonata
12,2,"Violin Sonata in C major, MS6",0,Sonata
13,2,Violin Sonata no. 1 in D minor,0,Sonata
14,3,"Sonata for violin and piano in A minor, op. 19",0,Sonata
15,4,"Fratres, for violin and piano",0,Misc.
16,4,"Spiegel im Spiegel, for violin and piano",0,Misc.
17,5,"4 Pieces, for violin and piano, op. 7",0,Misc.
18,6,"Mariettas Lied zur Laute, for violin and piano",0,Misc.
19,6,"Much Ado About Nothing, suite from the incidental music for violin and piano, op. 11",0,Suite
20,6,"Serenade, for violin and piano",0,Misc.
21,6,"Tanzlied des Pierot, for violin and piano",0,Misc.
22,6,"Violin Sonata in G major, op. 6",0,Sonata
23,7,"Violin Sonata in B major, RT viii/3",0,Sonata
24,7,"Violin Sonata no. 1, RTviii/6",0,Sonata
25,7,"Violin Sonata no. 2, RTviii/9",0,Sonata
26,7,"Violin Sonata no. 3, RTviii/10",0,Sonata
27,8,"Gavotte, for violin and piano",0,Misc.
28,9,"Violin Sonata no. 3, H.303",0,Sonata
29,9,"5 Madrigal Stanzas, for violin and piano, H.297",0,Misc.
30,9,"Concerto for Violin and Piano, H.13",0,Misc.
31,9,"Violin Sonata in C major, H.120",0,Sonata
32,9,"Violin Sonata no. 1, H.182",0,Sonata
33,9,"Violin Sonata no. 2, H.208",0,Sonata
34,9,"Violin Sonatina, H.262",0,Misc.
35,10,"Violin Sonata in A major, M.8",0,Sonata
36,10,"Andantino quietoso in E flat major, for violin and piano, op. 6, M.5",0,Misc.
37,10,"Duo concertant in B flat major, for violin and piano, op. 14, M.6",0,Misc.
38,11,"Little Fantasia, for violin and piano, op. 73",0,Misc.
39,11,"Sonatina in one movement for violin and piano, op. 8",0,Misc.
40,11,"Variations, for violin and piano, op. 4",0,Misc.
41,12,"Dikhthas, for violin and piano",0,Misc.
42,12,"Mikka, for violin",0,Misc.
43,13,"5 Pieces for Violin and Piano, op. 84",0,Misc.
44,13,"Sonata for Violin and Piano, op. 17",0,Sonata
45,13,"Sonata for Violin and Piano no. 1, op. 15",0,Sonata
46,13,"Sonata for Violin and Piano no. 2, op. 43",0,Sonata
47,14,"Expromt, for violin and piano",0,Misc.
48,15,Serenade in A minorDur für Violin und Klavier,0,Misc.
49,15,"Suite  in A major, for violin and piano",0,Suite
50,16,"Violin Sonata in B flat major, T.So.32, ""Dresden Sonata no. 1""",0,Sonata
51,16,"Violin Sonata in G minor, T. So 33, ""Dresden Sonata no. 2""",0,Sonata
52,17,"3 Violin Sonatas, op. 5",0,Sonata
53,17,"Amusement in F major, for violin and piano, op. 108, ""Sonatine""",0,Misc.
54,17,"Introduction and variations on a German song in F major, for violin  and piano, op.  posth. 2",0,Misc.
55,17,"Rondo brillant for Violin and Piano, op. 126",0,Misc.
56,18,"4 Nocturnes, for violin and piano",0,Misc.
57,19,"Pampeana no. 1, for violin and piano, op. 16",0,Misc.
58,20,"4 Pieces for Violin and Piano, op. 17",0,Misc.
59,20,"Ballade in D minor, for violin and piano",0,Misc.
60,21,"Adagio, for violin and piano",0,Misc.
61,22,2 Pieces for Violin and Piano,0,Misc.
62,22,Violin Sonata in A minor,0,Sonata
63,23,"Violin Sonata no. 3 in A minor, op. 25, ""Dans le caractere populaire roumain""",0,Sonata
64,23,"Airs dans le genre roumin, for violin",0,Misc.
65,23,"Andante malinconico, for violin and piano",0,Misc.
66,23,"Hora Unirei, for violin and piano",0,Misc.
67,23,"Impressions d'enfance, for violin and piano in D major, op. 28",0,Misc.
68,23,"Impromptu concertant, for violin and piano in G flat major",0,Misc.
69,23,"Légende, for violin and piano",0,Misc.
70,23,"Pastorale, Menuet Triste et Nocturne, for violin and piano 4 hands",0,Misc.
71,23,"Sarabande, for violin",0,Misc.
72,23,"Sonata Torso, for violin and piano",0,Sonata
73,23,"Tarantella, for violin and piano",0,Misc.
74,23,Violin Sonata in A minor,0,Sonata
75,23,"Violin Sonata no. 1 in D major, op. 2",0,Sonata
76,23,"Violin Sonata no. 2 in F minor, op. 6",0,Sonata
77,24,"Milonga en Re, tango for violin and piano",0,Misc.
78,25,"Cavatine for violin and piano, op. 57",0,Misc.
79,25,"Romance for violin and piano in E major, op. 46",0,Misc.
80,25,"Sonata for violin and piano no. 1, op. 50",0,Sonata
81,25,"Sonata for violin and piano no. 2, op. 79",0,Sonata
82,25,Suite Florentine for violin and piano,0,Suite
83,26,2 Pieces for Violin and Piano,0,Misc.
84,26,"Toccata, for violin and piano",0,Misc.
85,26,Violin Sonata,0,Sonata
86,27,"Berceuse in B flat major, for violin and piano, op. 38",0,Misc.
87,27,"Elegie in F major, for violin and piano, op. 160",0,Misc.
88,27,"Elegy no. 1 for Violin and Piano, op. 143",0,Misc.
89,27,"L'air de la pendule in A minor, for violin and piano",0,Misc.
90,27,"Romance for Piano, Organ and Violin in B flat major, op. 27",0,Misc.
91,27,Sonata for violin and piano,0,Sonata
92,27,"Sonate inachevee, for violin and piano",0,Misc.
93,27,"Violin Sonata no. 1 in D minor, op. 75",0,Sonata
94,27,"Violin Sonata no. 2 in E flat major, op. 102",0,Sonata
95,28,"Violin Sonata, op. 134",0,Sonata
96,29,"Sonates du Rosaire, for violin: Crucifixion",0,Misc.
97,29,"Passacaglia in G minor, for solo violin",1,Misc.
98,29,"Sonata for Solo Violin in A major, C.147",1,Sonata
99,29,"Violin Sonata in A, C.106, ""Pastorella""",0,Sonata
100,29,"Violin Sonata in A, C.146, ""Representatio Avium""",0,Sonata
101,29,"Violin Sonata in A major, C.147",0,Sonata
102,29,"Violin Sonata in C minor, C.107",0,Sonata
103,29,"Violin Sonata in E major, C.108",0,Sonata
104,29,"Violin Sonata no. 1 in A major, C.138",0,Sonata
105,29,"Violin Sonata no. 2 in D minor, C.139",0,Sonata
106,29,"Violin Sonata no. 3 in F major, C.140",0,Sonata
107,29,"Violin Sonata no. 4 in D major, C.141",0,Sonata
108,29,"Violin Sonata no. 5 in E minor, C.142",0,Sonata
109,29,"Violin Sonata no. 6 in C minor, C.143",0,Sonata
110,29,"Violin Sonata no. 7 in G minor, C.144",0,Sonata
111,29,"Violin Sonata no. 8 in G major, C.145",0,Sonata
